tweet,label
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
