ID,Opinion,Source,DiseaseLabel,Label
1,"Fragility fractures and low bone mass, typical Osteoporosis.",Radiologist,Osteoporosis,Correct
2,"Bones appear dense, trauma more likely than Osteoporosis.",Doctor,Osteoporosis,Incorrect
3,"Definite Submandibular Stone, moderate grade, needs medication.",Radiologist,Submandibular Stone,Correct
4,"Diffuse soft tissue edema, not specific for Submandibular Stone.",Patient,Submandibular Stone,Incorrect
5,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Radiologist,Disc Herniation,Correct
6,"Enlarged tonsils with exudate, classic for Tonsillitis.",Specialist,Tonsillitis,Incorrect
7,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
8,"Diffuse infiltrates, Lung Cancer less likely.",Doctor,Lung Cancer,Incorrect
9,"Mild disc bulge without nerve compression, herniation doubtful.",Radiologist,Disc Herniation,Incorrect
10,"Salivary glands appear normal, no definite Submandibular Stone.",Doctor,Submandibular Stone,Incorrect
11,"Fragility fractures and low bone mass, typical Osteoporosis.",Specialist,Osteoporosis,Correct
12,Marked tonsillar hypertrophy with inflammatory changes.,Doctor,Tonsillitis,Correct
13,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
14,"Homogeneous thyroid echotexture, nodules unlikely.",Radiologist,Thyroid Nodules,Incorrect
15,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Correct
16,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Correct
17,Large irregular pulmonary lesion with lymph node enlargement.,Patient,Lung Cancer,Incorrect
18,"Pericolic fat stranding and diverticula, consistent with Diverticulitis.",Specialist,Diverticulitis,Correct
19,"Non-specific white matter changes, Glioblastoma doubtful.",Specialist,Glioblastoma,Incorrect
20,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Doctor,Diverticulitis,Incorrect
21,"Abdominal pain with normal CT, Diverticulitis unlikely.",Patient,Diverticulitis,Incorrect
22,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
23,"Mild jaw discomfort, Submandibular Stone unlikely, needs follow-up.",Specialist,Submandibular Stone,Incorrect
24,Marked tonsillar hypertrophy with inflammatory changes.,Radiologist,Tonsillitis,Correct
25,Thyroid slightly enlarged but no discrete nodules identified.,Doctor,Thyroid Nodules,Incorrect
26,"Homogeneous thyroid echotexture, nodules unlikely.",Radiologist,Thyroid Nodules,Incorrect
27,"Abdominal pain with normal CT, Diverticulitis unlikely.",Doctor,Diverticulitis,Incorrect
28,Spiculated lung mass highly suggestive of Lung Cancer.,Specialist,Lung Cancer,Correct
29,"Just motion artifact, not Metacarpal Fracture.",Doctor,Metacarpal Fracture,Incorrect
30,"Bones appear dense, trauma more likely than Osteoporosis.",Radiologist,Osteoporosis,Correct
31,"Small lung opacity, may be infection rather than Lung Cancer.",Specialist,Lung Cancer,Incorrect
32,"Disc protrusion compressing nerve root, consistent with Disc Herniation.",Radiologist,Disc Herniation,Correct
33,"Small lesion, likely demyelination rather than Glioblastoma.",Specialist,Glioblastoma,Incorrect
34,Multiple uterine masses compatible with Fibroids.,Radiologist,Uterine Fibroids,Incorrect
35,"Mild jaw discomfort, Submandibular Stone unlikely, needs follow-up.",Radiologist,Submandibular Stone,Correct
36,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Incorrect
37,Transverse fracture line across the metacarpal shaft.,Radiologist,Metacarpal Fracture,Correct
38,"Normal image, no Disc Herniation despite symptoms.",Patient,Disc Herniation,Incorrect
39,Comminuted Metacarpal Fracture after direct trauma.,Patient,Metacarpal Fracture,Correct
40,Infiltrative brain tumor pattern consistent with Glioblastoma.,Doctor,Glioblastoma,Correct
41,Generalized osteopenia with vertebral compression fractures.,Specialist,Osteoporosis,Correct
42,"Bone density significantly reduced, consistent with Osteoporosis.",Patient,Osteoporosis,Incorrect
43,"Definite Diverticulitis, moderate grade, needs medication.",Doctor,Diverticulitis,Correct
44,Well-defined uterine lesions typical of Fibroids.,Doctor,Uterine Fibroids,Correct
45,Transverse fracture line across the metacarpal shaft.,Patient,Metacarpal Fracture,Correct
46,"Just motion artifact, not Glioblastoma.",Patient,Glioblastoma,Correct
47,"Irregular mass with necrotic center, typical for Glioblastoma.",Specialist,Glioblastoma,Correct
48,Endometrial thickening without definite Fibroids.,Radiologist,Uterine Fibroids,Incorrect
49,"Normal alignment, Metacarpal Fracture unlikely.",Doctor,Metacarpal Fracture,Incorrect
50,Clear obstructive Submandibular Stone with duct dilation.,Radiologist,Submandibular Stone,Incorrect
51,Multiple uterine masses compatible with Fibroids.,Doctor,Uterine Fibroids,Correct
52,Comminuted Metacarpal Fracture after direct trauma.,Radiologist,Metacarpal Fracture,Correct
53,"Salivary glands appear normal, no definite Submandibular Stone.",Specialist,Submandibular Stone,Incorrect
54,"No clear fracture line, soft tissue swelling only.",Radiologist,Metacarpal Fracture,Incorrect
55,Scattered diverticula without clear signs of inflammation.,Patient,Diverticulitis,Incorrect
56,Generalized osteopenia with vertebral compression fractures.,Doctor,Osteoporosis,Incorrect
57,"Just motion artifact, not Metacarpal Fracture.",Specialist,Metacarpal Fracture,Incorrect
58,"Clear Metacarpal Fracture with mild displacement, splint required.",Patient,Metacarpal Fracture,Correct
59,"Homogeneous thyroid echotexture, nodules unlikely.",Doctor,Thyroid Nodules,Incorrect
60,Well-defined uterine lesions typical of Fibroids.,Doctor,Uterine Fibroids,Correct
61,"Definite Diverticulitis, moderate grade, needs medication.",Radiologist,Diverticulitis,Correct
62,Large posterior disc herniation indenting the thecal sac.,Radiologist,Disc Herniation,Correct
63,"Diffuse thyroiditis pattern, no suspicious nodules.",Doctor,Thyroid Nodules,Correct
64,"Just motion artifact, not Glioblastoma.",Doctor,Glioblastoma,Incorrect
65,Scattered diverticula without clear signs of inflammation.,Radiologist,Diverticulitis,Incorrect
66,"Normal uterine contour, no clear Fibroids.",Doctor,Uterine Fibroids,Correct
67,Scattered diverticula without clear signs of inflammation.,Radiologist,Diverticulitis,Incorrect
68,"Definite Submandibular Stone, moderate grade, needs medication.",Specialist,Submandibular Stone,Correct
69,"No clear fracture line, soft tissue swelling only.",Patient,Metacarpal Fracture,Incorrect
70,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
71,"Mild bowel wall thickening, may represent IBS rather than Diverticulitis.",Radiologist,Diverticulitis,Incorrect
